file,mode,pages,total_hits,top_labels
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\advis11.pdf,direct,2,4,money_laundering:4
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\advis11a.pdf,direct,1,1,money_laundering:1
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\advis12.pdf,direct,3,2,money_laundering:1; structuring_smurfing:1
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\advis13.pdf,direct,4,16,money_laundering:16
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\advis13a.pdf,direct,1,4,money_laundering:4
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\advis15.pdf,direct,3,8,money_laundering:8
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\advis15w.pdf,direct,1,4,money_laundering:4
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\advis16.pdf,direct,3,8,money_laundering:8
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\advis16w.pdf,direct,1,3,money_laundering:3
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\advis17.pdf,direct,3,10,money_laundering:10
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\advis17a.pdf,direct,1,4,money_laundering:4
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\advis18.pdf,direct,3,14,money_laundering:12; corruption_bribery:2
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\advis18a.pdf,direct,1,4,money_laundering:4
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\advis19a.pdf,direct,1,4,money_laundering:4
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\advis2.pdf,direct,4,6,money_laundering:6
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\advis20.pdf,direct,3,10,money_laundering:10
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\advis20a.pdf,direct,1,4,money_laundering:4
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\advis21.pdf,direct,3,8,money_laundering:8
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\advis21a.pdf,direct,2,0,
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\advis22.pdf,direct,3,7,money_laundering:7
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\advis22a.pdf,direct,1,3,money_laundering:3
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\advis23.pdf,direct,3,12,money_laundering:12
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\advis23a.pdf,direct,1,4,money_laundering:4
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\advis24.pdf,direct,3,12,money_laundering:12
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\advis25.pdf,direct,3,14,money_laundering:14
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\advis26.pdf,direct,3,9,money_laundering:8; structuring_smurfing:1
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\advis26a.pdf,direct,1,4,money_laundering:4
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\advis27.pdf,direct,3,4,money_laundering:4
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\advis27w.pdf,direct,1,4,money_laundering:4
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\advis28.pdf,direct,2,8,money_laundering:8
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\advis29.pdf,direct,3,17,money_laundering:14; corruption_bribery:2; terrorist_financing:1
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\advis29w.pdf,direct,1,0,
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\advis2w.pdf,direct,1,2,money_laundering:2
